trainnumber,occupancy,weekday,from,to
IC3640,2,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008814001
IC3640,2,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008895836
IC3640,2,1,http://irail.be/stations/NMBS/008895836,http://irail.be/stations/NMBS/008895802
IC3640,2,1,http://irail.be/stations/NMBS/008895802,http://irail.be/stations/NMBS/008895091
IC3640,2,1,http://irail.be/stations/NMBS/008895091,http://irail.be/stations/NMBS/008895000

IC3639,2,1,http://irail.be/stations/NMBS/008813003,http://irail.be/stations/NMBS/008814001
IC3639,2,1,http://irail.be/stations/NMBS/008814001,http://irail.be/stations/NMBS/008895836
IC3639,2,1,http://irail.be/stations/NMBS/008895836,http://irail.be/stations/NMBS/008895802
IC3639,2,1,http://irail.be/stations/NMBS/008895802,http://irail.be/stations/NMBS/008895091
IC3639,2,1,http://irail.be/stations/NMBS/008895091,http://irail.be/stations/NMBS/008895000

L2778,1,1,http://irail.be/stations/NMBS/008822715,http://irail.be/stations/NMBS/008822608
L2778,1,1,http://irail.be/stations/NMBS/008822608,http://irail.be/stations/NMBS/008822004

L2766,1,1,http://irail.be/stations/NMBS/008822004,http://irail.be/stations/NMBS/008822608
L2766,1,1,http://irail.be/stations/NMBS/008822608,http://irail.be/stations/NMBS/008822715

IC1531,0,1,http://irail.be/stations/NMBS/008831039,http://irail.be/stations/NMBS/008831807
IC1531,0,1,http://irail.be/stations/NMBS/008831807,http://irail.be/stations/NMBS/008833605
IC1531,0,1,http://irail.be/stations/NMBS/008833605,http://irail.be/stations/NMBS/008833308
IC1531,0,1,http://irail.be/stations/NMBS/008833308,http://irail.be/stations/NMBS/008833001

P8386,1,1,http://irail.be/stations/NMBS/008822004,http://irail.be/stations/NMBS/008822608
P8386,1,1,http://irail.be/stations/NMBS/008822608,http://irail.be/stations/NMBS/008822715

IC1515,1,1,http://irail.be/stations/NMBS/008833001,http://irail.be/stations/NMBS/008833308
IC1515,1,1,http://irail.be/stations/NMBS/008833308,http://irail.be/stations/NMBS/008833605
IC1515,1,1,http://irail.be/stations/NMBS/008833605,http://irail.be/stations/NMBS/008831807
IC1515,1,1,http://irail.be/stations/NMBS/008831807,http://irail.be/stations/NMBS/008831039

L2667,2,1,http://irail.be/stations/NMBS/008821006,http://irail.be/stations/NMBS/008821121
L2667,2,1,http://irail.be/stations/NMBS/008821121,http://irail.be/stations/NMBS/008821196
L2667,2,1,http://irail.be/stations/NMBS/008821196,http://irail.be/stations/NMBS/008894821
L2667,2,1,http://irail.be/stations/NMBS/008894821,http://irail.be/stations/NMBS/008894755
L2667,2,1,http://irail.be/stations/NMBS/008894755,http://irail.be/stations/NMBS/008894748
L2667,2,1,http://irail.be/stations/NMBS/008894748,http://irail.be/stations/NMBS/008894714
L2667,2,1,http://irail.be/stations/NMBS/008894714,http://irail.be/stations/NMBS/008894508

IC4316,1,1,http://irail.be/stations/NMBS/008821600,http://irail.be/stations/NMBS/008821717
IC4316,1,1,http://irail.be/stations/NMBS/008821717,http://irail.be/stations/NMBS/008832458
IC4316,1,1,http://irail.be/stations/NMBS/008832458,http://irail.be/stations/NMBS/008832433
IC4316,1,1,http://irail.be/stations/NMBS/008832433,http://irail.be/stations/NMBS/008832409
IC4316,1,1,http://irail.be/stations/NMBS/008832409,http://irail.be/stations/NMBS/008832565

L2677,2,1,http://irail.be/stations/NMBS/008894755,http://irail.be/stations/NMBS/008894821
L2677,2,1,http://irail.be/stations/NMBS/008894821,http://irail.be/stations/NMBS/008821196
L2677,2,1,http://irail.be/stations/NMBS/008821196,http://irail.be/stations/NMBS/008821121

IC2330,1,1,http://irail.be/stations/NMBS/008892205,http://irail.be/stations/NMBS/008891314
IC2330,1,1,http://irail.be/stations/NMBS/008891314,http://irail.be/stations/NMBS/008891264
IC2330,1,1,http://irail.be/stations/NMBS/008891264,http://irail.be/stations/NMBS/008891009

S32265,2,1,http://irail.be/stations/NMBS/008812005,http://irail.be/stations/NMBS/008812021
S32265,2,1,http://irail.be/stations/NMBS/008812021,http://irail.be/stations/NMBS/008812047
S32265,2,1,http://irail.be/stations/NMBS/008812047,http://irail.be/stations/NMBS/008812062
S32265,2,1,http://irail.be/stations/NMBS/008812062,http://irail.be/stations/NMBS/008812070
